country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9083.582,12903.806,9048.0029,5090.271,3947.6855,2426.9753,2309.3599,2144.7126,2139.7676,2255.231,2521.8101,2817.5681,2925.8281,3131.0898,3299.2078,4906.3838,6974.9482,9574.4658,10686.558,10871.692,12947.103,16325.537,16710.912,16429.795,16393.193,14372.97,14293.731,14504.942
Bahamas,,,,,,,,,,,,,,,,,,,,,23081.387,22843.215,21558.246,22709.563,18553.871,15534.735,15861.608,17105.389,19230.605,22571.477,23412.768,20052.688,21092.688,21605.201,23965.59,24217.973,23981.285,24755.596,24655.303,26081.908,23789.047,22686.582,22765.168,22508.313,21640.93,21375.375,26051.932,25305.906,27376.381,30438.154,31461.236,30301.01,34229.398,32331.688,30721.582,33255.328,30808.957,32892.93,30500.602,30121.461,29504.582,29240.906,29712.188,26312.66,27241.072,23683.039,23078.143,22026.313
Bahrain,,,,,,,,,,,,,,,,,,,,,19942.977,19191.869,19585.914,21005.063,25088.209,21582.426,26014.842,26971.832,26201.232,20446.777,23921.498,20953.129,16757.119,16983.285,17990.174,9418.6445,10870.496,10931.148,13046.785,12751.635,14273.346,13910.997,14072.187,15481.737,15526.823,15624.901,14624.104,17345.674,15797.597,18703.881,25147.785,23752.828,21489.17,25242.967,26748.768,34254.426,35958.855,37257.824,46171.492,35225.613,37045.813,37504.465,39806.566,42551.129,41665.594,38388.566,37689.027,37616.391
Bangladesh,,,,,,,,,,1356.1826,1429.3021,1391.0798,1445.7754,1505.0839,1466.3837,1419.5295,1404.8757,1328.6544,1344.123,1373.2803,1432.2178,1387.0549,1301.7422,1092.6305,1099.2302,1039.2092,1148.0819,1199.8038,1202.844,1242.0933,1206.9211,1198.402,1164.0815,1155.5234,1235.6377,1256.1466,1255.6653,1226.6855,1246.6992,1352.6293,1378.3331,1397.7717,1406.3385,1411.4324,1446.9573,1483.7754,1495.4797,1462.7638,1422.1139,1352.0847,1370.7682,1384.552,1431.2761,1447.7852,1460.9795,1501.174,1618.4756,1787.8156,1986.0731,2135.9067,2411.1021,2763.1729,2702.4185,2821.0581,2950.6099,3114.0554,3218.9878,3436.0527
Barbados,,,,,,,,,,,8310.4873,8615.1914,8882.252,8760.8418,8670.7783,9011.6377,9484.5996,10419.95,10735.028,12353.303,13651.821,14039.519,14194.229,13767.736,12490.995,14713.391,11583.909,11685.562,11083.344,11652.154,11542.785,11418.793,11483.054,11805.215,12086.921,10547.099,12542.314,14000.64,15015.329,16641.041,16209.407,17387.346,17398.816,17906.809,18949.637,19639.818,22239.998,23057.336,21070.229,21424.039,21469.33,19464.514,18021.996,17418.496,17871.844,17864.873,15839.929,18048.721,17096.406,14776.599,13995.613,12202.3,11253.069,10230.9,10198.376,9876.8916,9424.458,9272.5781
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12783.59,12425.176,11082.134,11746.094,7745.2202,7482.2949,7868.7354,8337.3008,8179.9165,8090.1387,8808.4551,8633.5205,8837.0791,9316.5303,10081.251,10730.697,12065.13,13287.97,15413.064,14912.847,16457.029,18532.172,17621.037,17375.816,16684.32,16681.652,16252.168,16843.686
Belgium,7139.939,7406.54,7527.6045,7723.5298,8045.1558,8354.7041,8555.5527,8635.002,8456.3232,8665.5547,9100.0879,9550.5654,10008.563,10322.027,10947.245,11231.58,11468.944,11843.817,12300.603,13034.069,13767.337,14257.366,15074.118,16090.665,16801.748,16582.156,17631.613,17859.873,18516.902,19067.021,20385.578,19386.529,18744.566,18167.617,18132.334,17203.848,18412.555,19420.328,20938.209,21413.873,22322.295,22585.873,23332.543,23405.514,23911.197,24819.742,24761.605,25885.145,26021.088,27228.898,28958.131,28936.244,29629.689,30699.676,31329.307,34705.051,33519.242,34195.512,37041.637,35552.813,38177.945,38542.148,39135.852,38603.238,38166.574,36975.871,37170.441,38340.887
Belize,,,,,,,,,,,,,,,,,,,,,3120.4966,3284.6235,2907.6731,3230.1387,3643.3848,3546.1655,3249.5359,3461.8877,3553.7373,3752.1392,4179.1729,3829.9507,3852.3555,3725.1038,3709.4866,3729.6648,4194.6445,4551.7778,4792.8223,5169.3726,5674.166,5391.4653,5339.3984,5863.1387,6134.6924,6426.7065,5761.5034,5444.626,5256.7827,5280.9785,5880.7134,5735.1553,6297.3594,6770.5166,6919.5229,7136.936,7377.4209,7504.8594,7067.1445,6544.4634,7145.9521,7372.5298,7468.3403,7089.6553,7302.5859,6923.4692,6904.5332,6777.0044
Benin,,,,,,,,,,1516.6963,1616.8395,1601.02,1522.4913,1572.2695,1622.4962,1716.1689,1721.8553,1746.5383,1837.8466,1863.4969,1996.7865,1997.5104,2042.1273,2139.5854,2273.345,1891.9352,1982.0112,1998.9557,1891.2151,1931.4165,2019.8782,2482.7441,1748.8806,1663.9789,1716.0753,1838.959,1570.109,1415.6438,1423.8214,1253.0419,1253.4209,1282.4717,1286.6378,1282.25,1165.3046,1201.2124,1228.4771,1319.0764,1340.4619,1427.1508,1553.0127,1615.1307,1729.74,1787.7201,1854.6824,1891.785,1888.9696,1951.7158,1957.9071,1910.3684,1919.9968,1895.3285,1978.1582,2038.6112,2180.6028,2146.1763,2042.2521,2113.9355
Bermuda,,,,,,,,,,,,,,,,,,,,,356728.19,686215.63,537003.38,519870.38,456606.16,489382.53,605767.63,566748.25,557366.44,556877.81,456902.81,452061.38,428595.69,443359.19,472247.5,355776.44,505247.09,792461.31,536154.5,276833.34,479371.91,505735.66,410957.25,436816.06,161809.75,382778.44,313806.56,510320.25,22865.275,44287.457,233183.42,197598.69,429461.97,106304.34,39433.793,39394.434,41492.422,40330.199,50077.742,48507.727,51447.145,53465.285,42369.254,38540.164,39738.625,37263.887,35908.875,36434.191
