country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Congo,,,,,,,,,,,1702.6969,1559.0662,1965.7955,2125.5588,2210.1956,2139.729,1934.0336,1922.6976,2114.8577,2275.8572,2499.2839,2671.604,2579.7007,2906.2271,3412.4937,3119.8105,3175.5579,3233.8289,2981.575,3283.7454,3211.6841,2570.9326,2670.2324,4192.501,4787.9805,4363.4326,2645.9553,2441.1309,2205.8896,2158.1475,2512.6699,2736.5037,1943.5865,2005.2576,1862.6157,1748.7126,1933.283,1793.3289,1385.4865,1744.1107,2439.7725,2268.4417,2194.8359,2238.0713,2620.3918,3600.7124,3856.6887,2924.7556,4044.2778,3179.6892,4979.9907,5975.5562,6064.1831,4931.4644,5101.1885,3609.26,3578.5364,3726.6741
Costa Rica,3229.2371,3244.0891,3551.5273,4100.478,4119.4692,4327.0483,4054.9792,4189.8511,4535.8091,4397.3906,4583.8696,4337.5786,4462.2202,4573.1929,4663.7515,4994.6255,5113.0713,5188.5645,5352.0674,5496.7139,5820.207,5955.5088,6196.0322,6470.4277,6515.0635,6577.6211,6925.7441,7525.3076,7713.6411,7870.6636,7714.3364,7426.2861,6746.707,6648.271,6961.833,6894.2461,7448.4355,7269.312,7277.6221,7550.5786,7601.5981,7542.7969,8131.8481,8484.915,8664.3789,8793.7188,8432.1377,8607.8789,9255.2881,9152.2686,9358.4775,9580.1377,9480.7598,9641.1309,9936.7529,10523.793,10574.515,11048.071,11534.453,12052.773,12106.992,12695.542,12887.226,12796.815,13560.92,13978.959,14454.995,15043.887
Cote d'Ivoire,,,,,,,,,,,1599.2024,1624.1178,1645.6744,1795.0145,2001.2402,1831.5599,1960.6232,1966.2958,2131.282,2225.5405,2349.0352,2397.0161,2393.5862,2417.1746,2491.1914,2484.772,2661.9639,2725.1682,2859.9775,2782.4236,2374.7112,2392.7092,2362.3499,2288.7239,2260.4419,2415.0581,2441.031,2315.7026,2285.7073,2417.8735,2159.8667,2140.5674,2159.7041,2063.6472,1963.5613,2186.6553,2298.2769,2235.2083,2222.5693,2134.2476,2044.6652,2012.0546,1952.0082,2141.3604,2001.6532,1964.1201,2020.0027,2097.1907,2180.6924,2320.1975,2452.6096,2391.3914,2609.8696,2771.7852,2932.4956,3126.0378,3346.5608,3513.7544
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12169.667,9662.9482,8494.3311,7933.5884,8593.2617,9126.7725,9521.3848,10397.357,10734.782,11017.123,11938.858,12519.026,13497.292,14381.622,14788.332,16119.771,17683.572,19147.084,20441.098,19446.947,19305.01,20047.719,20427.08,19755.803,19757.717,20881.945,21970.178,22995.551
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28143.875,28721.457,27615.949,27588.129,24312.275,24337.814,23872.391,23368.531,23325.201,23235.502,23073.221,22663.754,21952.865
Cyprus,2943.5461,3058.4482,3348.5081,3722.2913,4146.4644,4229.5479,4645.1797,4611.8481,3937.6812,4113.7998,3868.5146,4324.2222,5115.4585,5122.6348,4341.2441,5558.6729,5772.4004,6379.7324,6550.6753,7417.1475,7624.0991,8260.6738,8564.3252,8389.8311,7825.8853,6417.3267,8163.2969,10346.129,11466.223,13114.972,13904.664,13798.545,14707.513,15256.94,16846.641,16331.147,16380.755,17477.156,18350.74,20241.109,20564.205,19593.416,20405.969,19730.688,20426.266,21253.324,20746.604,21056.322,20584.076,21924.711,25066.055,25391.17,24419.107,22480.725,22767.201,26227.85,26774.699,27646.105,28820.889,28327.434,28046.375,27450.779,27352.078,25565.98,24624.092,27196.199,28137.316,29228.803
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20907.189,17628.43,17483.057,17721.363,18691.174,19538.965,20435.332,19715.662,19003.559,18952.281,19599.146,20527.531,20190.398,21099.102,21668.121,23544.82,23993.736,25957.736,27149.158,25918.109,26129.568,26937.619,26771.088,26802.861,27964.266,28583.166,29209.607,31140.898
Democratic Republic of Congo,1968.9836,2255.9053,2373.48,2641.2695,2680.4602,2807.5347,2840.6545,2750.9404,2679.2139,2617.9146,2708.6084,2239.6978,2674.8777,2511.0701,2232.6433,2488.0088,2586.9126,2300.2454,2406.9832,2609.2849,2613.303,2532.2544,2377.0981,2551.6538,2620.7239,2073.1199,1825.9996,1866.8025,1779.0856,1989.6355,2005.58,1868.5393,1858.0221,1869.9857,2100.9009,1967.7152,1805.8273,1718.0559,1792.5684,1788.1262,1354.7614,1021.9121,1328.7858,1003.7488,714.57782,719.60175,626.53125,628.70813,557.13135,564.60486,496.05133,482.29147,486.77121,514.57501,550.67047,580.28046,605.9989,620.91071,592.47388,589.3999,634.97137,666.17511,740.51245,804.15173,825.61298,827.44775,774.13312,760.46906
Denmark,9305.4785,9073.2695,9197.2832,9718.8516,9956.374,9831.3359,9986.4629,10453.609,10574.749,11398.818,12026.708,12707.88,13214.334,13314.088,14307.674,14820.646,15078.858,15755.3,16559.967,17545.76,17625.83,17998.205,18653.016,19266.01,18870.531,18459.844,19442.221,19864.215,20353.27,21125.643,21181.316,20399.293,20750.438,20959.734,21441.098,21789.043,23415.752,23969.193,23943.768,24060.52,24663.979,24684.869,25577.621,25284.385,26324.734,27109.004,27997.84,29352.77,30115.531,31446.314,33215.922,33087.969,32874.668,33433.926,35096.867,38189.152,39561.539,40469.508,42811.008,40885.184,43416.223,44592.172,43650.113,43203.844,43040.762,42843.965,43566.543,45875.332
Djibouti,,,,,,,,,,,,,,,,,,,,,7314.6094,7312.521,7187.1147,7045.8853,6300.1733,6536.6992,6194.2544,4934.7271,4459.3696,4177.4932,4052.1655,3963.4397,3944.2834,3849.6067,3781.6272,3384.2827,3161.0178,2963.4177,2746.3542,2483.52,2241.8618,2066.6873,2610.6084,3181.3718,2316.5549,2723.0637,2323.7708,2421.9673,2338.7996,2406.8169,2405.9172,2311.0352,2246.5696,2397.3311,2432.2288,2519.7124,2871.679,2960.0715,3254.3738,2381.0786,2124.4419,2335.1812,2444.4702,2629.4502,2901.5566,2797.4983,3848.7834,4048.0232
Dominica,,,,,,,,,,,,,,,,,,,,,4035.6858,4307.7305,4617.6548,4997.3125,4986.0981,5141.9946,5237.8994,5166.9971,5806.3613,4866.3296,5379.4189,6170.085,6438.0508,6634.1392,6986.0493,6568.5273,7133.7534,7647.6709,8116.8882,8119.3535,8843.0703,7997.0908,8737.6934,8888.1113,8536.8936,9007.4775,9215.6543,8332.9668,8530.5527,8816.9355,9049.2607,7109.2817,7267.499,6626.9712,6584.0317,7097.4609,7561.3696,8043.2666,9112.6299,8025.5332,9101.9932,8717.5879,9278.4258,8823.3447,9149.5654,7917.6475,8158.751,7132.0698
Dominican Republic,,2212.4141,2256.9478,2200.1462,2339.0146,2286.8171,2380.5532,2465.4302,2341.7034,2536.1702,2921.1987,2770.7546,2949.679,2764.5459,2766.8389,2503.8411,2502.593,2508.3792,2384.2224,2507.4214,2798.6113,2944.4958,3458.4341,3702.6565,3583.4832,3658.4431,4066.8669,3928.8003,3862.365,3914.5698,3703.7471,4114.439,4080.2488,4196.2778,4594.4531,4589.2295,4771.4458,5235.2925,5453.1123,5024.3701,4561.3149,4548.8301,5206.9209,5587.9771,5767.4746,5799.0649,5930.8003,6457.6807,7143.2329,7499.709,7468.376,8088.9971,8013.8491,7330.7637,7521.6865,8334.8174,9262.2051,10051.888,10178.83,10681.621,11500.132,11619.993,11743.769,12029.788,12675.507,13594.711,14307.479,14780.61
Ecuador,3044.3752,3069.4133,3267.4329,3386.5562,3676.5874,3733.9758,3739.9634,3756.5686,3718.6213,3814.6575,3962.7563,4035.2048,4074.3638,4038.4524,4233.7686,4246.9004,4250.2036,4449.2007,4530.6748,4517.2065,4717.5864,4887.2002,4801.3521,5181.7334,6003.4131,6407.7773,6684.729,6766.7695,6958.1592,7051.5449,7165.6567,7189.3149,6906.2339,6536.4722,6425.9844,6397.9404,6012.0703,5790.1274,5420.5811,5366.4097,5587.5854,5672.7466,5694.1255,5171.6992,5185.9956,5116.7529,5037.7998,5191.646,5184.8892,4806.6543,4997.4468,5257.0615,5653.6143,5896.1597,6451.9375,7232.3833,7705.4888,8066.7822,8853.2813,8476.7695,9129.1367,9973.0889,10335.648,10876.104,10872.468,10089.984,9718.9785,9879.7666
Egypt,626.48737,641.51685,603.09406,588.95483,595.81879,604.42969,611.65186,622.40955,623.82788,665.53326,685.77332,699.88702,719.06683,759.11072,837.60443,847.49561,848.94653,856.79712,921.97308,976.36487,1105.1219,1103.4575,1147.3203,1122.5793,1140.3274,1238.2959,1252.9954,1299.291,1344.6545,1330.323,1345.0522,1522.595,1511.0902,1695.8435,1835.2257,1836.4705,1833.8358,1814.3783,1739.338,1874.3226,2104.3599,2407.0305,2593.1411,2968.8955,3329.3699,3884.2778,4593.8154,4652.3892,4640.6338,4777.4175,4848.1763,5006.3975,5056.2905,5140.5532,5303.6826,5524.2505,5929.1909,6659.502,7796.0381,8018.8003,9148.8398,10459.656,10423.288,10513.783,10579.689,10772.85,10877.037,11202.346
El Salvador,1613.5118,1573.9303,1651.7996,1725.6301,1688.427,1724.121,1778.9988,1817.2959,1829.4655,1839.7947,1798.604,1851.6393,2015.7711,2017.8763,2093.8306,2151.8774,2211.3665,2283.509,2310.4697,2315.1672,2293.2915,2302.0544,2364.6572,2445.5566,2506.0911,2589.7126,2632.2798,2664.4478,2796.5334,2769.6016,2559.2502,2360.7961,2269.5415,2282.0417,2337.96,2297.1907,2500.3232,2471.7839,2532.322,2550.4326,2489.5588,2555.5842,2759.4177,3026.3198,3225.2751,3577.5725,3638.7292,3830.6404,3974.4648,4097.541,4316.2046,4444.1587,4613.189,4819.127,4952.9541,5410.5698,5686.6538,5939.1079,6087.481,5821.623,6096.9585,6445.7119,6598.8823,6590.1958,6720.644,6502.2905,6563.7739,6659.7993
Equatorial Guinea,,,,,,,,,,,954.43945,949.84558,968.09686,1094.8676,1100.5781,1183.8796,1287.2317,1415.9653,1480.8086,1530.8346,1550.2982,1642.7228,1731.0621,1934.3053,2078.8086,2298.0806,2373.8027,2604.5283,2482.5193,2336.2371,2379.8081,2315.5696,2274.0925,2194.2656,2058.4304,2186.6609,1942.1007,1980.6415,2020.1111,1938.3964,1994.7007,2027.8416,2050.0381,1975.8387,1197.4171,1729.8186,2961.9158,5390.645,5043.21,6394.126,8274.6807,11771.312,10479.758,11693.961,15226.851,22580.037,22548.219,25981.93,33882.504,22647.605,31416.887,37498.227,38333.512,34174.035,30664.41,18984.143,15434.622,14478.681
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10756.41,11242.497,8637.4414,8420.8213,8297.7793,9128.6738,9938.6709,10059.85,10023.008,9960.5938,11129.523,11767.946,12531.491,13506.921,14191.108,17276.883,18825.73,20991.148,21459.031,19275.398,20265.572,22599.775,23829.453,24349.938,24479.289,23986.906,24504.605,25939.426
Ethiopia,414.22104,463.25787,469.06461,493.86542,489.18375,491.27029,505.72598,492.6412,487.68448,509.78247,522.51807,533.05347,543.6778,546.84589,569.02246,597.77344,606.52374,604.07776,619.84314,647.06525,635.93054,643.39813,656.83875,658.63049,654.14404,654.94818,670.14691,666.46722,669.5036,675.77856,706.05695,768.73724,817.45422,923.56085,904.91968,893.16241,873.16479,883.75977,817.5285,772.28864,747.12366,653.35101,569.35101,605.46576,546.52972,592.69299,584.40759,621.32843,558.34143,562.12579,539.67804,611.88672,528.12646,547.35992,629.85748,733.82275,729.24286,854.56696,919.88165,951.75708,1100.1832,1195.8772,1249.3857,1377.38,1540.6262,1615.0925,1614.9105,1591.4904
Fiji,,,,,,,,,,,2774.9836,2744.6753,2698.0361,2987.2297,3348.3999,2788.9705,2797.9009,3130.8105,3443.1187,3488.5391,3764.968,4082.6448,4290.2065,4690.313,4733.9604,4721.2119,4664.9141,4906.3149,5025.0981,5828.3701,5719.0908,5453.6924,5118.2432,4657.4902,4882.7183,4748.8735,4745.6367,4707.5322,4942.1543,5428.4312,6149.4141,5661.2148,5739.8633,5687.7026,5881.564,5705.1899,5884.5981,5654.291,5485.1235,5838.4375,5925.8486,5862.2622,5784.543,5399.29,5372.0933,5244.5186,5764.9468,5756.2539,6107.8154,6487.0459,6902.0688,7186.8403,7077.1147,7641.8491,7658.3188,7806.7778,7551.4614,7600.8447
Finland,5839.8755,6513.0107,6596.8906,6444.7466,7086.7051,7582.1191,7635.3066,7625.1011,7573.916,8092.1567,8861.0986,9680.6182,9799.1689,9809.7324,10069.607,10682.626,10963.74,11219.231,11774.281,12968.76,14046.623,14262.412,15132.546,16109.005,16672.127,16152.666,16797.143,16953.943,17686.318,18073.24,18994.682,19612.273,19601.662,19735.152,19871.826,19954.313,21198.508,22145.857,23598.195,24298,24536.262,22944.311,21815.018,21523.316,22249.627,25062.961,24939.676,27091.148,29232.721,30647.885,31948.67,32088.678,31833.088,32357.465,33758.641,35936.871,36560.66,39559.266,40902.543,37355.531,38394.059,39141.191,38717.641,37121.5,36899.656,37691.355,38374.273,39893.371
France,6849.999,7164.561,7306.8262,7539.25,7913.7588,8272.9287,8608.1299,8993.5381,9177.9521,9334.7559,10020.233,10389.704,10876.585,11398.362,12023.938,12474.941,13037.009,13582.689,14061.387,14941.137,15714.014,16497.756,17210.686,18288.912,19000.352,18767.334,19595.764,20333.535,21204.148,22036.205,22410.244,21853.75,21710.096,21276.477,20937.209,20480.801,21495.107,21995.811,22986.074,23704.432,24327.363,24282.33,24601.814,24425.033,24814.377,25257.432,25696.494,27039.025,28400.594,29592.16,31161.316,31812.598,31794.039,30852.229,31290.084,33743.727,34381.109,35752.664,35852.715,34569.617,35786.16,36813.254,36517.453,37074.52,37070.688,37809.063,38208.797,39461.105
Gabon,,,,,,,,,,,3478.7544,3721.8611,4119.6968,4903.0068,5416.1553,5973.7529,5480.5342,5900.647,5955.7954,6300.7539,7283.3286,7422.9053,7209.9541,8207.7764,10614.81,11490.797,13572.994,12662.246,13228.31,13074.252,13101.574,12078.977,11189.723,11957.401,12892.839,11469.029,8597.5,8159.5801,7182.3384,9087.2568,10646.769,10811.761,10013.514,9867.9404,8756.0674,9562.6094,10512.795,8966.9082,7542.291,8698.2686,10202,9016.2646,9253.7764,10143.205,11940.984,15793.247,14611.886,14837.716,17160.73,10456.317,11961.169,16298.991,14676.402,14854.613,13582.478,12551.342,12357.727,11803.617
Gambia,,,,,,,,,,,2509.9246,2282.9067,2231.7825,2320.1958,2488.6526,2715.9487,2681.7881,2571.9224,2684.9417,2543.4485,2835.7756,2768.9546,2724.9434,2880.8267,2949.24,3032.4597,2904.7185,2856.0679,2952.416,2776.8765,2705.6541,3083.8279,3181.3579,2930.8574,2896.0481,2865.4348,2848.0313,2724.05,2676.0793,2642.5601,2633.0142,2615.885,2600.7073,2628.4487,2554.3948,2562.8513,2547.1287,2546.167,2483.71,2618.6797,2764.2976,2770.1687,2529.2185,2718.3855,3060.4856,2956.2144,2763.4646,2701.9216,2656.9346,2628.542,2681.8586,2416.3679,2503.2927,2617.9307,2620.6033,2685.1135,2530.0403,2644.4087
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10284.077,8889.5527,4117.1519,2544.9917,2313.5613,2596.3723,2982.7454,3223.6233,3105.5313,3084.0913,3070.3896,3258.8723,3482.0471,3967.3599,4345.8135,4873.0693,5746.4263,6579.082,7032.687,7420.2466,7966.6021,8987.6162,9578.3867,10098.874,10777.495,12241.346,12487.302,13077.325
Germany,4643.5112,5114.6157,5555.6348,5992.0977,6479.2505,7355.8149,7869.8604,8259.2988,8472.2168,9131.1523,9937.0781,10251.002,10530.342,10672.056,11381.147,11860.943,12096.437,11912.453,12543.834,13435.723,14043.615,14435.058,15095.467,15920.958,16163.714,16147.799,17049.756,17708.057,18345.348,19236.16,19533.18,19147.922,18753.736,18803.057,19003.039,19022.947,20504.146,21349.691,22414.938,23283.408,24941.041,26190.695,26970.596,27119.053,28071.469,29052.498,29394.684,30350.449,31364.744,32673.4,33330.496,33760.91,33669.543,34364.734,35302.391,37144.266,37970.133,40261.066,41326.805,38683.039,40627.23,42887.25,42580.438,43309.902,44745.793,44482.508,45852.555,47556
Ghana,,,,,,3603.7913,3610.0535,3415.5493,3518.9172,3980.9138,4230.5059,3991.5024,3921.1047,4169.5049,4349.708,4170.8843,4012.6057,3631.4673,3552.5273,3736.4915,4205.1089,4280.5122,3508.7771,3842.6021,4246.1479,3678.2891,3267.3074,3698.3862,3627.7134,3345.0486,3277.8213,2983.8215,2472.6799,2366.7642,2502.7407,2597.8079,2577.2605,2559.9722,2739.6462,2668.6692,2694.2029,2882.6663,2722.6909,2500.4521,2558.3701,2603.7229,2581.6619,2773.177,2697.5571,2765.1089,3213.6528,2907.0137,2841.6848,2942.8032,3075.394,3082.3059,3073.8616,3582.2878,3913.2349,3622.8137,3931.2917,4347.6914,4636.1216,4870.2109,5168.5684,4908.9111,4798.6992,4988.8574
Greece,,3386.5408,3270.8904,3691.3625,3716.6035,3945.0283,4267.145,4565.2417,4751.2358,4893.0347,4950.3174,5598.5,5466.0732,6163.3936,6587.2588,7275.4072,7782.5444,8078.002,8593.877,9551.46,10413.803,11173.368,12226.777,13040.578,12088.487,12645.018,13299.53,13339.993,14077.878,14164.473,14259.177,14132.039,13574.318,13305.976,13547.82,13996.077,14522.35,14305.111,15245.88,15930.542,15993.538,16901.693,16982.197,17176.918,17883.32,18362.797,18799.145,20372.27,21436.887,21774.299,22776.1,23546.072,24419.563,24501.453,25578.889,26057.213,27997.043,27904.254,28635.584,27698.379,25815.799,23363.9,22316.068,22754.199,22797.832,23185.998,23041.721,23765.188
Grenada,,,,,,,,,,,,,,,,,,,,,2031.0365,2144.4248,2364.1628,2586.9275,2442.1655,2883.7861,3123.2385,2903.7336,3312.8247,3353.3799,3632.876,3320.2783,3401.53,3480.8936,3735.0071,3594.9336,3524.7493,4202.9258,4274.7383,4828.7222,5048.6699,5216.3525,6168.1079,5565.4712,5971.1294,6191.6211,7177.8926,6871.7192,7365.4487,7498.0693,7439.7891,6317.5439,6908.313,5814.6133,7421.6328,8616.9414,8473.8721,8987.0576,9598.5195,9097.418,9791.291,10466.655,10286.604,10420.132,11082.893,10866.99,11212.801,11668.589
Guatemala,2099.7407,2071.2405,2063.2307,2066.7576,2037.5037,1992.176,2068.4626,2110.7163,2151.3979,2205.6919,2188.2822,2229.304,2233.1199,2306.8147,2324.2493,2357.6377,2437.6807,2482.3477,2622.0286,2713.8406,2820.0522,2878.2053,3012.54,3118.6091,3194.7808,3205.1826,3291.9106,3472.7441,3551.623,3668.1101,3746.1843,3778.7273,3621.6887,3522.9175,3499.0029,3329.0146,3411.3843,3453.1619,3395.5242,3589.6191,3698.5935,3851.9915,3922.373,4072.8264,4155.2104,4341.5767,4353.895,4497.8013,4671.9214,4826.4512,4982.7505,5158.0508,5233.8193,5307.0811,5406.167,5537.5225,5730.8555,5993.8975,6140.7852,6170.1343,6359.2627,6685.7007,6694.355,6722.5889,6922.9604,7073.6602,7178.0396,7255.5654
Guinea,,,,,,,,,,2751.9348,2985.2769,3133.9912,3172.7124,3230.9556,2957.1921,3011.6472,3013.0576,2866.73,2822.6257,2746.3889,2623.8979,2736.9124,2778.6741,2805.5806,2938.5195,3016.2571,3238.4751,3117.3264,3306.5923,3237.1189,3325.6392,3233.3894,3240.4036,3164.1101,3132.5977,3179.7927,3145.7983,3193.998,3317.929,3273.428,3229.7803,3126.73,2977.2244,2961.0715,2953.0332,2949.7954,3106.6992,2771.5637,2748.3523,2519.2998,2318.5745,2136.1118,2009.9031,1744.0632,1646.3505,1648.5175,1682.2751,1665.8489,1686.3608,1578.53,1742.7347,1823.4673,1940.9897,2068.0073,2021.6765,2033.6633,2116.9067,2281.5024
Guinea-Bissau,,,,,,,,,,,763.46191,793.45813,773.3645,826.05328,875.8205,917.40277,836.68536,944.69019,968.00647,1046.9149,1130.6931,1059.3145,1091.2263,1074.52,1111.7441,1303.2677,1393.6088,1110.4159,1283.8707,1251.3751,1257.0531,1382.6759,1372.7534,1326.0382,1299.5875,1024.0748,1315.5126,1325.1427,1481.4894,1441.7258,1471.1987,1447.0234,1158.5377,1349.978,1472.5508,1459.2314,1508.6079,1723.2109,1421.8357,1601.7996,1543.1887,1540.8481,1467.1545,1450.4763,1473.0829,1442.7828,1398.4172,1380.5132,1368.9274,1321.9808,1387.2498,1474.738,1333.6697,1332.6703,1380.1066,1496.5027,1599.0474,1667.894
Haiti,,,,,,,,,,,1328.2181,1263.0327,1312.4564,1276.6125,1243.4521,1229.4078,1209.0748,1159.5308,1167.6964,1189.4974,1219.4075,1239.4984,1249.6589,1306.5229,1405.5773,1402.3666,1559.4824,1577.296,1607.5305,1687.4884,1761.3488,1660.459,1533.399,1531.3481,1520.1683,1461.9844,1453.7444,1465.4713,1455.183,1338.3224,1342.1559,1301.6786,1258.7366,1207.5844,1024.9404,1319.6439,1497.1561,1536.5657,1506.0522,1666.6011,1963.3964,1873.6462,1833.7572,1844.8401,1725.345,1759.8177,1713.9034,1743.0199,1667.5131,1698.3809,1650.2697,1657.0786,1610.1183,1655.488,1671.8278,1649.2759,1657.917,1668.6489
Honduras,2108.802,2111.5491,2060.4346,2146.6821,1931.7637,1907.3972,2092.6111,2071.0588,2089.5098,2092.5842,2014.8521,2029.9943,2062.3174,2035.9855,2089.4089,2177.6072,2179.6785,2192.5566,2267.8577,2196.5598,2195.1426,2175.0554,2243.0056,2348.9646,2224.1968,2222.95,2456.0037,2663.6252,2783.2214,2777.7046,2753.9624,2735.4785,2676.5994,2563.9653,2615.1619,2553.4648,2651.1228,2714.1265,2835.2793,2833.7207,2915.959,2979.2441,2988.9602,3151.6162,3142.4697,3399.4885,3161.675,3202.2964,3214.9661,3081.5933,3224.5688,3193.876,3256.4541,3334.4082,3457.7703,3713.3159,3759.3442,3923.355,3699.1641,3639.7881,3789.9104,4026.2493,4053.2417,3863.0059,3955.2756,4054.6255,4134.3174,4254.9927
Hong Kong,,,,,,,,,,,4599.3965,4674.3779,4950.687,5404.3452,5750.4565,6374.4546,6595.084,6632.981,6839.7681,7476.0063,8015.6987,8470.2314,9186.6074,10103.076,10049.24,10008.453,11132.371,12095.575,12896.78,13868.497,14886.533,15620.583,15661.749,16217.912,17360.309,16617.479,18656.496,21409.193,21896.063,23122.555,25026.535,26269.973,28298.434,30012.188,30830.906,31250.561,32547.648,33116.824,30575.225,30768.293,33961.609,36139.742,37823.184,38804.289,44361.027,46823.098,42760.656,44803.172,43456.055,38546.023,41687.949,44788.871,45540.164,51960.574,45409.996,39773.152,39576.734,40584.477
Hungary,,,,,,,,,,,,,,,,,,,,,5188.6816,5538.8599,5659.9678,5892.687,6178.7788,6435.0552,7022.1104,7842.9609,8777.3965,9413.3379,10201.753,10345.09,10443.735,10352.468,10464.918,10459.076,11026.508,11808.606,11949.772,12326.676,12330.993,11188.871,11206.479,11925.719,12508.297,12706.539,13061.668,12993.129,13115.077,13379.383,14361.437,15225.982,16082.128,16665.293,16525.014,18351.434,18338.1,18523.227,20099.48,19451.475,20477.799,21367.854,21103.525,21308.35,21582.006,21740.682,21420.842,22571.65
Iceland,8076.3271,7801.8613,7597.3101,8599.5098,9285.5449,10282.017,10074.53,9897.0635,10683.835,10732.998,10857.975,11137.87,11411.588,12528.097,13817.988,14833.294,15596.406,14813.299,13509.718,14081.713,14983.819,17723.453,17268.172,19005.078,20100.428,19956.984,19839.414,22105.111,22966.291,23898.566,25162.939,26037.93,26686.461,23875.42,25874,25320.5,27348.592,30355.648,30806.395,29142.318,28773.045,28959.9,27490.807,27618.156,28268.498,27958.66,28448.043,31706.854,32868.125,34866.563,34227.703,35696.863,35283.922,35123.109,36618.461,39537.402,37852.484,39231.375,49151.113,41567.133,37729.016,37747.91,38589.133,38247.84,38381.008,39502.172,40422.207,41306.172
India,841.39923,861.47028,873.0033,903.9762,926.55969,931.11743,955.17535,941.17499,981.2309,977.89484,1040.9971,1052.0825,1072.551,1120.667,1177.9005,1134.0625,1105.7721,1164.2792,1188.2876,1281.6818,1272.9647,1289.7422,1289.8524,1341.8304,1296.1948,1394.5573,1345.9839,1317.0865,1273.9897,1166.0134,1162.6814,1125.2933,1080.1318,1063.9666,1040.5022,1032.4409,1067.2903,1113.2611,1182.0692,1241.1555,1297.264,1295.7802,1350.078,1414.3143,1486.656,1571.465,1682.894,1753.1812,1850.7705,1948.2369,2004.1915,2068.4463,2150.0874,2318.8076,2457.3223,2759.5537,3062.425,3399.0498,3574.2825,3794.7573,4357.0596,4720.9976,4995.3174,5154.9541,5434.3447,5722.5186,6037.9868,6421.6704
Indonesia,,,,,,,,,,,1281.8174,1386.2422,1326.2983,1179.5504,1105.8484,1301.6978,1060.6898,1110.4763,1132.4595,1147.8566,1205.5563,1263.2142,1383.8315,1519.8054,1615.6523,1658.2235,1754.8173,1871.1135,1970.1569,2057.8276,2212.2495,2344.9478,2332.123,2448.2161,2526.989,2504.6838,2511.5864,2555.0117,2596.2583,2823.9788,3151.6101,3374.385,3537.7085,3708.8733,3925.5759,4227.8589,4530.2471,4541.0625,3622.2444,3618.0254,3449.2585,3491.0068,3504.457,3510.5708,3788.1492,4084.1309,4456.9961,4904.041,5781.6216,6304.2222,7365.4385,8825.2236,9160.2236,9476.4131,9776.4307,9781.207,10123.332,10594.067
Iran,,,,,,2574.6235,2736.8606,3104.4678,3432.6265,3767.6318,3790.7129,3936.4124,4130.1953,4206.2144,4244.7896,4743.1816,5016.6694,5459.9546,5853.0708,6226.0107,7079.1504,7778.8374,8582.9746,8981.499,8870.8008,8226.8887,8702.4902,7507.4814,6402.8481,5468.7495,3143.3333,2724.8926,3515.0483,3296.1445,3090.5488,3038.02,2643.6035,2802.0488,2396.4329,2601.3413,3118.2114,3594.1953,3834.6821,4734.2036,4893.3496,5066.1646,6138.312,6317.4751,6371.2856,6940.0151,7624.6538,8610.6045,9697.127,10739.646,12079.501,13730.999,14537.574,16202.058,16442.678,16459.477,17328.459,18188.086,16355.355,16238.01,16011.703,14834.178,15574.609,15964.644
Iraq,,,,,,,,,,,,,,,,,,,,,2997.7346,3038.5068,3414.0972,4068.7412,4812.3247,5361.5845,5921.0088,4478.5405,5103.1348,6185.144,6177.2651,5883.6753,5464.9111,4596.6802,4395.0664,4381.9468,4628.8994,5344.771,5455.918,4763.1807,4687.7432,1583.623,1965.076,2856.9192,2609.6335,2076.4124,2957.5181,2408.9905,3037.7588,3593.9644,4234.6968,4663.1406,4076.2061,2672.5896,3915.5388,4258.5127,5097.3047,5833.0254,6957.5596,7959.5132,9344.5439,11530.982,12583.056,15171.47,14806.879,14662.682,16266.956,15300.658
Ireland,4853.6875,4918.7222,5118.5718,5245.5342,5327.4468,5497.2363,5464.7383,5466.3364,5417,5667.1563,5972.0024,6278.5156,6411.3818,6663.1719,6834.1685,6907.7593,6997.1455,7377.1445,7914.876,8270.9121,8321.8857,8499.3613,9033.0635,9410.7041,9483.374,9755.873,10032.035,10866.046,11725.346,12184.397,12550.064,12624.62,12651.435,12313.154,12518.712,12485.942,13215.7,14112.012,14687.255,15654.445,16917.113,17159.629,18282.645,19293.252,20147.652,23008.201,24657.285,27363.754,29761.689,32296.893,35622.75,37716.859,41652.809,44729.082,46513.082,50224.941,50639.727,54168.512,50692.289,47728.008,47823.504,48321.332,48821.098,49024.109,52549.695,67492.672,71948.953,75916.094
